Headline,label
Dog Owner Not Sure How City Expects Her To Pick Up Every Drop Of Dog Piss In Little Bag,1
Public Pressure Mounts For U.S. Government To Stop Designating KKK As 501(c)(3) Nonprofit,1
"Huh, Boyfriend’s Ex Just Made Interesting Hair Choice",1
"‘It’s Perfect Outside,’ Announces Sweating Woman Slowly Losing Consciousness In Middle Of Heatstroke",1
Man Hates How Hot Dog-Eating Contests Reduce Art Of Eating Hot Dogs To A Competition,1
Resigned Pew Research Study Has No Fucking Clue What’s Going On With 15% Of Americans,1
White House Toilet Doesn’t Know If It Can Handle Another 4 Years Of Trump,1
Kentucky Attorney General So Starstruck By Letter From Beyoncé He Unable To Even Read What It’s About,1
Researchers Find Crows Smart Enough Not To Let On How Smart They Really Are,1
Sony Reveals PS5 Fully Customizable With Different Little Hats,1
Report: This A Goddamn Walk In The Park Compared To What’s Coming In 2027,1
Heavily Armed Fans Guard Statue Of Yogi Bear In Case It Turns Out He Supported Confederacy,1
William Howard Taft Historian Confident Solution To Nation’s Troubles Can Be Found In Storied Career Of William Howard Taft,1
NASA Launches Paparazzo Rover In Beverly Hills To Search For Signs Of Salacious Celebrity Life,1
Sweat-Soaked Mattress Praying This The Year Couple Invests In Air Conditioner,1
Manipulative Stepmom Only Married Dad So She Could Take Care Of Him Into Old Age,1
Report: There Already 5 Million Players Who Are Better Than You’ll Ever Be At ‘Valorant’,1
Disgusted Patio Diner Pretty Sure She Just Saw Coronavirus Scurry Into Bushes,1
Scientists Discover Mysterious Radio Transmission From Space That Repeats 50-Minute Intervals Of Nonstop Classic Rock Blocks,1
42-Year-Old Man Still Unsure What His Interests Are,1
‘More Tranquil Dammit!’ Screams Perfectionist Ambient Sound Producer Demanding Another Take From Babbling Creek,1
Jeff Bezos Depressed After Realizing Net Worth Still Just Number Known To Man,1
Weight Watchers Debuts New Ad Asking If You Remember Time Grandma Said ‘Someone Got Heavy’ In Front Of Everybody,1
"‘So, It Means Making The Police Lose Their Homes And Forcing Them To Get A Divorce?’ Says Nation Still Struggling To Understand How Defunding The Police Works",1
36-Year-Old Man Begins Outlining A Savings Plan For PS5,1
Amazon Temporarily Halts Police Use Of Facial Recognition Software Until It Can Perfect ‘Other Faces You Might Be Interested In’ Feature,1
City Enters Phase 4 Of Pretending Coronavirus Over,1
ExxonMobil Simplifies Oil Extraction By Cutting Earth In Half,1
Quaker Oats Replaces Historically Racist Aunt Jemima Mascot With Black Female Lawyer Who Enjoys Pancakes Sometimes,1
Showrunner Worried This A Bad Time For New Series About 2 Cop Best Friends Who Get Neo-Nazi Roommate,1
Anna Kendrick’s ‘Love Life’ Pulled From HBO Max Until It Can Return With Historical Context,1
South Secedes From NASCAR Following Confederate Flag Ban,1
No Way In Hell Man Going To Start Examining Relationship With Food Right Now,1
White Ally Willing To Do Whatever It Takes To Make Sure People Won’t Be Mad At Him,1
Woman On Sidewalk Can’t Even Summon Kernel Of Whimsy Required To Skip Along Hopscotch,1
37-Year-Old Worried He Might Have Missed Boat On Becoming Child Prodigy,1
